datetime,temperature,humidity,wind_speed,pressure,cloud_cover,precipitation,aqi
2026-03-01T00:00,21.2,94,6.9,1008.6,99,0.0,68.9
2026-03-01T01:00,21.0,95,5.6,1009.2,97,0.0,72.2
2026-03-01T02:00,20.8,96,5.5,1009.7,95,0.0,76.56
2026-03-01T03:00,20.9,93,4.5,1010.4,22,0.0,79.64
2026-03-01T04:00,22.5,82,5.1,1011.5,16,0.0,78.18
2026-03-01T05:00,24.4,68,5.6,1011.8,16,0.0,77.02
2026-03-01T06:00,26.2,60,6.4,1011.7,9,0.0,74.11
2026-03-01T07:00,27.2,56,10.4,1011.2,1,0.0,65.15
2026-03-01T08:00,27.2,58,13.1,1010.5,2,0.0,65.02
2026-03-01T09:00,27.2,56,13.4,1009.7,0,0.0,65.58
2026-03-01T10:00,27.0,56,13.2,1009.1,0,0.0,61.29
2026-03-01T11:00,26.5,57,12.6,1008.9,0,0.0,65.79
2026-03-01T12:00,25.6,61,11.8,1008.7,0,0.0,64.68
2026-03-01T13:00,24.5,69,10.5,1009.1,0,0.0,64.22
2026-03-01T14:00,23.4,77,8.8,1009.5,0,0.0,66.15
2026-03-01T15:00,22.9,81,7.9,1010.1,0,0.0,62.03
2026-03-01T16:00,22.6,83,7.3,1010.7,0,0.0,69.48
2026-03-01T17:00,22.2,85,6.2,1011.3,0,0.0,74.9
2026-03-01T18:00,22.0,87,5.7,1011.4,0,0.0,66.7
2026-03-01T19:00,21.8,88,5.1,1011.6,0,0.0,76.72
2026-03-01T20:00,21.3,90,4.7,1011.4,5,0.0,72.06
2026-03-01T21:00,20.8,93,4.6,1011.1,20,0.0,78.88
2026-03-01T22:00,20.5,96,4.8,1010.9,22,0.0,77.26
2026-03-01T23:00,20.3,96,5.5,1010.9,52,0.0,72.17
2026-03-02T00:00,20.6,96,6.6,1011.0,99,0.0,74.54
2026-03-02T01:00,20.5,98,6.3,1011.3,98,0.0,73.36
2026-03-02T02:00,20.2,99,6.0,1011.8,100,0.0,80.57
2026-03-02T03:00,20.3,99,5.9,1012.4,100,0.0,80.07
2026-03-02T04:00,22.2,87,7.9,1013.1,34,0.0,74.58
